market,strategy,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,closed_trades,win_rate_pct,profit_factor,exposure_pct_time,final_equity_krw
KRW-ETH,Current Hybrid (approx.),0.34,0.17,-3.91,0.07,0.04,348,33.62,1.03,67.6,1003351.48
KRW-ETH,Buy & Hold (50%),1.03,0.52,-43.22,0.19,0.01,0,,,100.0,1009839.68
KRW-ETH,200h Trend,-24.85,-13.32,-43.22,-0.4,-0.29,331,10.88,0.85,47.2,751536.41
KRW-ETH,20/100 Cross,18.89,9.04,-33.73,0.54,0.28,111,27.93,1.17,49.0,1188868.91
KRW-ETH,RSI-Bollinger,-15.31,-7.98,-32.93,-0.37,-0.23,211,60.66,0.9,17.9,846869.07
KRW-SOL,Current Hybrid (approx.),4.72,2.34,-3.96,0.7,0.6,300,43.67,1.43,56.2,1047230.1
KRW-SOL,Buy & Hold (50%),-9.28,-4.75,-54.53,0.07,-0.09,0,,,100.0,906769.42
KRW-SOL,200h Trend,2.37,1.18,-37.43,0.17,0.03,326,9.51,1.03,46.2,1023716.47
KRW-SOL,20/100 Cross,13.39,6.49,-35.28,0.39,0.19,116,30.17,1.08,48.6,1133903.66
KRW-SOL,RSI-Bollinger,-9.06,-4.64,-25.94,-0.19,-0.17,212,65.57,0.97,17.7,909412.2
